THIS IS THE OUTPUT OF THE FINISHED LEARNING TASK


Ultralytics 8.4.51  Python-3.12.10 torch-2.12.0.dev20260408+cu128 CUDA:0 (NVIDIA GeForce RTX 5060, 8151MiB)
Model summary (fused): 73 layers, 11,208,402 parameters, 0 gradients, 28.9 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 292/292 4.1it/s 1:11
                  corn         28         86       0.83      0.837      0.897       0.64
             croquette          6          6      0.708          1      0.879      0.683
              cucumber        115        327      0.514      0.578      0.528      0.393
                 curry         85        118      0.907      0.788      0.864      0.665
                   dal         46         50      0.651       0.48      0.499      0.305
            dalmakhani         87         95      0.718       0.59      0.664      0.379
                  dosa         62         97       0.68      0.722      0.747      0.514
          dosa-uttapam         46        115      0.769      0.551      0.641      0.447
          eels-on-rice          9          9      0.827      0.889      0.937      0.696
              eggplant         35         94      0.772      0.734      0.732        0.4
               falafel          7         20      0.412       0.75      0.509        0.4
                 fasol         22         45      0.855      0.511       0.58      0.415
        fried eggplant         12         27      0.704      0.111      0.169     0.0695
            fried-fish          9          9      0.101      0.222      0.077     0.0495
          fried-noodle          8          8       0.32      0.473      0.342      0.144
            fried-rice         15         15      0.425      0.733      0.517      0.276
         fried_chicken        168        252      0.853       0.79       0.84      0.606
       fried_dumplings         60         74      0.706      0.676      0.716      0.514
            fried_eggs        148        206      0.946      0.796      0.878      0.666
             ganmodoki         13         13      0.692      0.462      0.527      0.244
                garlic         41        121      0.714      0.618       0.71      0.484
               ghanouj          4          4          0          0      0.117     0.0997
                gratin          7          7      0.665      0.851      0.702      0.559
      grilled-eggplant         14         14      0.376      0.214      0.301      0.193
grilled-pacific-saury-         13         13      0.525      0.846      0.746      0.425
        grilled-salmon         13         13      0.357      0.231      0.316      0.164
           gulab_jamun         50        434      0.899      0.947      0.941      0.719
                halawa          8          9      0.371      0.222      0.291      0.157
             hamburger         26         26      0.588      0.654      0.714      0.554
            hot pepper         27        135      0.827      0.689      0.762      0.437
                  idli         48        224      0.847      0.786      0.879      0.594
                jiaozi         15         15      0.621        0.8      0.829      0.606
                 kabsa          8          8       0.77        0.5      0.767      0.502
               khichdi         50         50      0.787       0.82       0.81      0.537
                 khubz          5          9      0.345      0.222      0.224       0.17
                 kofta         11         18      0.314     0.0793      0.143      0.113
               kunafah          8          8          1      0.435      0.564      0.476
               kushari          4          4      0.353       0.25      0.403      0.262
                mansaf          5          5      0.651      0.753      0.853      0.705
    middle east burger          5          5      0.902        0.2      0.261      0.226
     middle east pizza          8         16      0.434      0.125       0.23      0.176
     middle east salad          7          8      0.676        0.5      0.652      0.502
      middle east soup          8          8      0.769      0.421      0.675      0.478
             miso-soup         31         31      0.575      0.613      0.673      0.433
             mujaddara          9         10      0.508        0.5      0.454      0.315
            mulukhiyah         11         15      0.903        0.8      0.854      0.596
     mung_bean_sprouts        155        227      0.927      0.714      0.804      0.529
                  oden         11         11      0.648      0.545      0.716      0.541
                omelet          8          8      0.521      0.625      0.532       0.38
              omelette         63         75      0.703      0.507      0.666      0.493
                 onion         49        146      0.906      0.658      0.743      0.556
           palakpaneer        117        123      0.867      0.899      0.891      0.741
                 papad         30         46      0.731      0.348      0.418      0.296
                  peas         26         91      0.762      0.633      0.674      0.376
                 pilaf         15         15      0.477      0.467       0.42      0.254
                  pita          6         22       0.29      0.227       0.19      0.141
            pizza_full         16         22      0.355      0.773      0.628      0.594
            pizza_half          3          3      0.223      0.667      0.479      0.469
           pizza_slice          5          8      0.701      0.375      0.506      0.448
                  poha        125        135      0.905      0.911      0.942      0.768
                 poori         46         68      0.549       0.59      0.572      0.401
   pork-cutlet-on-rice         23         23      0.762      0.556      0.681       0.49
                potage         10         10      0.682        0.8      0.875        0.6
               qatayef          6         12      0.383      0.583      0.452      0.287
          raisin-bread          8          8      0.496      0.625      0.651      0.437
                 rajma         67         75      0.681      0.773      0.724      0.336
          ramen-noodle         32         32      0.682      0.906      0.896      0.705
              rasgulla         36        270      0.886      0.773      0.883      0.721
               rediska         34        123      0.773      0.748       0.79      0.555
                 redka         29        116      0.875      0.853      0.911      0.718
               rendang         15         15      0.885      0.933      0.979      0.804
            roll-bread         16         16      0.473      0.875      0.692      0.513
                 salad         18         29      0.739      0.828      0.864      0.729
       salmon-meuniere          6          6       0.22      0.167      0.165     0.0906
               sambhar         65         72      0.743      0.722      0.768      0.525
              sambosak         10         17      0.348      0.126      0.176     0.0918
                samosa         18         95      0.819      0.726      0.772      0.484
            sandwiches         18         18       0.64      0.791      0.717      0.462
               sashimi          8          8      0.534      0.577       0.59      0.382
               sausage         11         11      0.287      0.182       0.27      0.135
       sauteed-spinach          8          8      0.496      0.625      0.673      0.513
    sauteed-vegetables          8          8      0.376      0.376      0.427      0.238
                 sfiha          9         30      0.476      0.367      0.366      0.199
              shawarma          9         11      0.711       0.23      0.451      0.215
           shish taouk         13         16      0.684      0.312      0.541      0.344
           soba-noodle         13         13      0.711      0.759      0.765      0.648
             spaghetti         16         16      0.517      0.562      0.625      0.412
       squash-patisson         28         90      0.895      0.762      0.877      0.638
                  stew          8          8      0.598      0.743      0.697      0.659
              sukiyaki          9          9      0.372      0.111      0.219      0.188
                 sushi         13         13      0.403      0.364      0.214      0.154
              takoyaki         23         23      0.846      0.652       0.86      0.654
          telur_balado         29        109      0.691       0.78      0.756      0.402
          tempura-bowl         11         11      0.446      0.818      0.635      0.422
          tempura-udon         14         14      0.736      0.571      0.749      0.508
         tensin-noodle          9          9      0.634      0.556      0.565      0.431
 teriyaki-grilled-fish         10         10      0.346        0.1      0.135     0.0905
                 toast         20         20      0.406      0.615      0.646      0.426
   triangle_hash_brown        122        150      0.799       0.64      0.698      0.512
           udon-noodle         11         11      0.516      0.778      0.681      0.465
                  vada         52        238      0.855      0.793      0.836      0.522
      vegetable marrow         26         66       0.75      0.833      0.874      0.563
     vegetable-tempura          8          8      0.625       0.75      0.695       0.48
         water_spinach        138        172      0.857      0.756      0.803      0.512
